ACTIVER;LIAI;DESIGNATION;;SECT;TEINT;TEINT2;ISO;LONG;LONG CP;Long_Add;Long_Add2;COUPE;POS;POS-OUT;FA;APP;VOI;Ref Connecteur;Ref Connecteur_Four;Ref Clip;Ref Clip Four;PRECO;Ref Joint;Ref Joint Four;POS2;POS-OUT2;FA2;APP2;VOI2;Ref Connecteur2;Ref Connecteur_Four2;Ref Clip2;Ref Clip Four2;PRECO2;Ref Joint2;Ref Joint Four2;PRECOG;OPTION;CritŠres sp‚cifiques;Commentaires
-1;139A;+ RECHAUFFEUR FILTRE GAS OIL;;1.5;VE;;A3Z;2230;2530;;;;;F16;52;449.AA;1;8200104792;;;;;;;;G14;49;299.AA;A5;8200244640;;;;;;;;ALL;;
-1;1A;+ SOLENOIDE DEMARREUR RELAYE;;3;VE;;A3Z;1250;1550;;;;;E14;25;1337.AA;3;8200382789;;;;;;;;J7;35;163.AA;1;8200428732;;;;;;;;ALL;;
-1;26Z;SGN + POINT MORT BVM;;0.5;VE;;A3Z;1430;1730;;;;;F14;26;1337.AD;12;24342AR443;;;;;;;;K8;11;1109.AA;3;8200104793;;;;;;;;ALL;;
-1;28A;- TEMOIN PRESSION HUILE;;0.5;VE;;A3Z;1085;1385;;;;;D13;27;1337.AH;7;243427Y018;;;;;;;;K6;46;205.AA;1;243427Y000;;;;;;;;ALL;;
-1;2N;SGN  BIT SYNCHRONE ALT;;0.5;VE;;A3Z;1545;1845;;;;;D13;27;1337.AH;1;243427Y018;;;;;;;;J5;4;103.AB;1;243427Y000;;;;;;;;ALL;;
0;2N;SGN  BIT SYNCHRONE ALT;6;0.5;VE;;A3Z;1545;1845;;;;;D13;27;1337.AH;1;243427Y018;;;;;;;;J5;5;103.BB;1;243427Y000;;;;;;;;;;
0;32A;INFO 2 SONDE NIVEAU HUILE;7;0.5;VE;;A3Z;985;1285;;;;;D13;27;1337.AH;12;243427Y018;;;;;;;;J6;57;688.AA;4;8200230318;;;;;;;;ALL;;
-1;32A;INFO 2 SONDE NIVEAU HUILE;;0.5;VE;;A3Z;;;;;;;D13;27;1337.AH;12;243427Y018;;;;;;;;;73;243.AA;1;7703297285;;;;;;;;ALL;;
0;32B;INFO 1 SONDE NIVEAU HUILE;8;0.5;VE;;A3Z;985;1285;;;;;D13;27;1337.AH;11;243427Y018;;;;;;;;J6;57;688.AA;3;8200230318;;;;;;;;ALL;;
-1;;INFO 1 SONDE NIVEAU HUILE;;0.5;VE;;;;;;;;;D13;27;;;243427Y018;;;;;;;;;73;;;7703297285;;;;;;;;ALL;;
-1;;CDE BJ P/CHF 2;;2.5;VE;;;1180;1480;;;;;J14;48;;;8200351176;;;;;;;;H7;54;;;7703297971;;;;;;;;ALL;;
-1;;CDE BJ P/CHF 3;;2.5;VE;;;1255;1555;;;;;J14;48;;;8200351176;;;;;;;;E7;55;;;7703297971;;;;;;;;ALL;;
-1;;CDE BJ P/CHF 4;;2.5;VE;;;1320;1620;;;;;J14;48;;;8200351176;;;;;;;;E7;56;;;7703297971;;;;;;;;ALL;;
-1;;CDE BJ P/CHF 1;;2.5;VE;;;1110;1410;;;;;J14;48;;;8200351176;;;;;;;;F8;53;;;7703297971;;;;;;;;ALL;;
-1;;CDE- CYL VRB CPRS;;0.75;VE;;;1785;2085;0;0;;;L4;16;;;24342AA000;;CA13C : 7703497697;CA13C : 211CC2S2160;;;;;D14;28;;;8200382794;;F008 : 2434470T16;F008 : MT095-94280;;;;;ALL;;
-1;;CURSEUR RHEOSTAT;;0.5;VE;;;1835;2135;;;;;E13;19;;;8200679263;;;;;;;;I15;20;;;7703197998;;;;;;;;ALL;;
-1;;SGN L CPT PRESSION FREON (CA);;0.5;VE;;;1835;2135;;;;;E13;19;;;8200679263;;;;;;;;I15;20;;;7703197998;;;;;;;;ALL;;
-1;;+ CAPT PRESSION FREON (CA);;0.5;VE;;;1835;2135;;;;;E13;19;;;8200679263;;;;;;;;I15;20;;;7703197998;;;;;;;;ALL;;
-1;;CDE RELAIS PWL;;0.75;VE;;;575;875;;;;;F14;26;;;24342AR443;;;;;;;;H13;50;;;243427Y015;;;;;;;;ALL;;
0;3AAD;- VOLET AIR;18;0.5;VE;;A3Z;1265;1565;;;;;E13;19;120.AC;M2;8200679263;;;;;;;;D10;30;1461.AA;3;243427Y009;;;;;;;;ALL;;
-1;;- VOLET AIR;;0.75;VE;;;;;;;;;E13;19;;;8200679263;;;;;;;;D10;30;;;243427Y009;;;;DORE;;;;ALL;;
-1;;SGN  DBM AIR SRCS;;0.5;VE;;;1055;1355;;;;;E13;18;;;8200679260;;;;;;;;C11;61;;;243427Y006;;;;;;;;ALL;;
0;3AAQ;+CPTR PRSN DFR FAP;20;0.5;VE;;A3Z;1905;2205;;;;;E13;19;120.AC;E1;8200679263;;;;;;;;E3;41;1908.AA;1;243427Y003;;;;;;;;ALL;;
0;3AAX;CDE+ MOT VL AIR;21;0.75;BA;;A3Z;1265;1665;;;;;E13;19;120.AC;O3;8200679263;;;;;;;;D10;30;1461.AA;6;243427Y009;;;;;;;TOR10;ALL;;
-1;;CDE+ MOT VL AIR;;0.75;VE;;;;;;;;;E13;18;;;8200679260;;;;;;;;D10;30;;;243427Y009;;;;;;;;ALL;;
0;3AAY;CDE- MOT VL AIR;22;0.75;VE;;A3Z;1265;1665;;;;;E13;19;120.AC;O4;8200679263;;;;;;;;D10;30;1461.AA;1;243427Y009;;;;;;;TOR10;ALL;;
-1;;SGN  TPRT DEBIT AIR;;0.5;VE;;;1055;1355;;;;;E13;18;;;8200679260;;;;;;;;C11;61;;;243427Y006;;;;;;;;ALL;;
0;3ABS;SGN + CPTR TPRT AMONT TURBO;24;0.5;VE;;A3Z;2155;2455;;;;;E13;19;120.AC;A1;8200679263;;;;;;;;G1;34;1589.AA;1;8200587084;;;;;;;;ALL;;
0;3ABT;-CPTR TPRT AMONT TURBO;25;0.5;VE;;A3Z;2155;2455;;;;;E13;19;120.AC;A2;8200679263;;;;;;;;G1;34;1589.AA;2;8200587084;;;;;;;;ALL;;
